chrom	feature	start0	end0	strand	locus_tag	gene_name	rna_type	gene_product	gene_len	SRR35996296_sense_avg_depth	SRR35996296_antisense_avg_depth	SRR35996296_sense_TPM	SRR35996296_antisense_TPM	SRR35996297_sense_avg_depth	SRR35996297_antisense_avg_depth	SRR35996297_sense_TPM	SRR35996297_antisense_TPM	SRR35996298_sense_avg_depth	SRR35996298_antisense_avg_depth	SRR35996298_sense_TPM	SRR35996298_antisense_TPM	sample_95_sense_TPM	sample_95_antisense_TPM	sample_enr_sense_TPM	sample_enr_antisense_TPM	avg_sense_TPM	avg_antisense_TPM	PacBio_sense_avg_depth	PacBio_antisense_avg_depth	PacBio_sense_TPM	PacBio_antisense_TPM	ONT_rep1_sense_avg_depth	ONT_rep1_antisense_avg_depth	ONT_rep1_sense_TPM	ONT_rep1_antisense_TPM	ONT_rep2_sense_avg_depth	ONT_rep2_antisense_avg_depth	ONT_rep2_sense_TPM	ONT_rep2_antisense_TPM	ONT_merged_sense_avg_depth	ONT_merged_antisense_avg_depth	ONT_merged_sense_TPM	ONT_merged_antisense_TPM
CP002027.1	gene	35233	35776	+	MMSYN1_0921	tnpA_1	mRNA	IS1296 transposase protein A	543	12.3002	0.0000	40.7559	0.0000	11.8029	0.3462	38.8998	1.1411	82.0645	0.2578	145.9631	0.4586	39.8278	0.5705	145.9631	0.4586	92.8955	0.5146	390.0571	6.0442	95.8813	1.4857	6.6998	0.0000	35.3544	0.0000	17.0516	0.9669	123.1937	6.9853	23.7514	0.9669	72.4311	2.9485
CP002027.1	gene	35913	36645	+	MMSYN1_0922	tnpB_1	mRNA	IS1296 transposase protein B	732	21.0533	0.0137	69.7588	0.0453	26.0943	1.2514	86.0006	4.1242	121.3115	1.1790	215.7694	2.0969	77.8797	2.0847	215.7694	2.0969	146.8246	2.0908	474.7131	32.9098	116.6909	8.0897	5.5178	1.0902	29.1168	5.7527	16.7049	1.3470	120.6893	9.7317	22.2227	2.4372	67.7692	7.4322
CP002027.1	gene	36686	37673	-	MMSYN1_0019		mRNA	mannitol-1-phosphate 5-dehydrogenase	987	2.6829	5.1641	8.8896	17.1110	3.0932	9.6474	10.1945	31.7956	21.8409	27.1094	38.8472	48.2179	9.5420	24.4533	38.8472	48.2179	24.1946	36.3356	555.4802	320.6940	136.5445	78.8309	13.0537	59.1317	68.8834	312.0336	43.9706	57.0304	317.6778	412.0317	57.0243	116.1621	173.8987	354.2425
CP002027.1	gene	37673	38471	-	MMSYN1_0020		mRNA	transcriptional regulator_ RpiR family	798	0.0000	5.3609	0.0000	17.7630	0.0952	7.3709	0.3139	24.2929	5.1153	18.1629	9.0983	32.3053	0.1569	21.0279	9.0983	32.3053	4.6276	26.6666	723.5664	169.1053	177.8624	41.5683	38.4160	35.1566	202.7186	185.5190	40.4185	13.7494	292.0149	99.3361	78.8346	48.9060	240.4102	149.1415
CP002027.1	gene	38504	38921	-	MMSYN1_0021		mRNA	PTS system_ mannitol-permease iia component	417	2.6523	2.2158	8.7882	7.3420	2.7194	0.9017	8.9626	2.9717	8.3141	59.5803	14.7879	105.9720	8.8754	5.1569	14.7879	105.9720	11.8316	55.5644	277.8153	158.1751	68.2907	38.8816	12.0600	38.2710	63.6395	201.9531	5.3621	16.0024	38.7400	115.6137	17.4221	54.2734	53.1295	165.5095
CP002027.1	gene	38920	39679	-	MMSYN1_0022		mRNA	sorbitol-6-phosphate 2-dehydrogenase (Glucitol-6-phosphate dehydrogenase) (Ketosephosphate reductase)	759	0.3030	3.8590	1.0041	12.7866	2.4216	11.4097	7.9811	37.6039	6.9671	33.0119	12.3919	58.7162	4.4926	25.1953	12.3919	58.7162	8.4422	41.9557	102.7484	127.4005	25.2569	31.3168	1.3136	23.2635	6.9316	122.7598	0.6785	12.0922	4.9022	87.3636	1.9921	35.3557	6.0750	107.8192
CP002027.1	gene	39678	41238	-	MMSYN1_0023		mRNA	PTS system_ mannitol-permease iibc component	1560	4.4526	44.5808	14.7533	147.7157	4.3481	48.6423	14.3303	160.3138	10.6404	70.8077	18.9254	125.9414	14.5418	154.0147	18.9254	125.9414	16.7336	139.9781	262.0109	61.6199	64.4058	15.1470	0.0000	13.5385	0.0000	71.4415	1.1122	17.0660	8.0352	123.2982	1.1122	30.6045	3.3917	93.3300
CP002027.1	gene	41508	42891	-	MMSYN1_0024		pseudo	PSEUDOGENE - divergent AAA domain family	1383	24.4591	5.6305	81.0439	18.6564	24.4158	7.7939	80.4687	25.6870	67.9776	22.6103	120.9077	40.2155	80.7563	22.1717	120.9077	40.2155	100.8320	31.1936	244.3811	2.3492	60.0721	0.5775	8.0969	10.0759	42.7267	53.1699	16.9725	11.1229	122.6227	80.3606	25.0694	21.1988	76.4505	64.6470
CP002027.1	gene	43283	43511	-	MMSYN1_0025	rpsR	mRNA	ribosomal protein S18	228	382.4342	0.0000	1267.1728	0.0000	395.5702	1.8421	1303.7075	6.0712	897.9825	10.1579	1597.1875	18.0672	1285.4401	3.0356	1597.1875	18.0672	1441.3138	10.5514	3785.2982	35.9298	930.4772	8.8320	281.5789	0.9079	1485.8711	4.7909	721.9561	1.9386	5215.9702	14.0059	1003.5351	2.8465	3060.3334	8.6805
CP002027.1	gene	43530	43971	-	MMSYN1_0026		mRNA	single-strand binding protein	441	389.0748	0.0000	1289.1761	0.0000	363.8594	0.4399	1199.1962	1.4498	1007.6145	7.7415	1792.1835	13.7693	1244.1861	0.7249	1792.1835	13.7693	1518.1848	7.2471	34370.7710	36.6644	8448.7975	9.0126	264.2902	0.0000	1394.6399	0.0000	743.2245	1.4104	5369.6292	10.1900	1007.5147	1.4104	3072.4695	4.3012
CP002027.1	gene	43982	44396	-	MMSYN1_0027		mRNA	30S ribosomal protein S6	414	413.2536	1.2077	1369.2911	4.0017	417.9058	0.0000	1377.3205	0.0000	1341.3961	1.5700	2385.8608	2.7926	1373.3058	2.0009	2385.8608	2.7926	1879.5833	2.3967	34351.7923	25.5024	8444.1323	6.2688	222.9251	0.0000	1176.3592	0.0000	1120.3792	0.0000	8094.4871	0.0000	1343.3043	0.0000	4096.4777	0.0000
CP002027.1	gene	44600	44810	-	MMSYN1_0028		mRNA	cold-shock DNA-binding domain_ putative	210	78.4000	0.0000	259.7737	0.0000	91.1810	0.3810	300.5113	1.2555	1367.3190	5.8667	2431.9684	10.4347	280.1425	0.6278	2431.9684	10.4347	1356.0554	5.5312	696.8333	4.5095	171.2910	1.1085	737.9667	5.8667	3894.1951	30.9580	2001.9143	4.1952	14463.3789	30.3096	2739.8810	10.0619	8355.4120	30.6843
CP002027.1	gene	44997	45597	+	MMSYN1_0029		mRNA	fmn-dependent NADH-azoreductase (fmn-dependent nadh-azocompound oxidoreductase) (azo-dye reductase)	600	140.0400	2.6533	464.0141	8.7917	159.6683	3.3883	526.2298	11.1672	474.1600	9.0350	843.3599	16.0700	495.1219	9.9794	843.3599	16.0700	669.2409	13.0247	385.0867	78.4017	94.6595	19.2722	589.2933	1.4567	3109.6570	7.6867	1070.0200	1.9600	7730.6530	14.1606	1659.3133	3.4167	5060.1639	10.4193
CP002027.1	gene	45633	46668	-	MMSYN1_0030		mRNA	abc transporter_ ATP-binding protein	1035	190.8812	0.0000	632.4733	0.0000	191.6618	1.1324	631.6729	3.7320	359.2667	2.2638	639.0061	4.0264	632.0731	1.8660	639.0061	4.0264	635.5396	2.9462	4254.6599	56.1816	1045.8526	13.8102	96.2425	0.9459	507.8646	4.9914	86.9188	2.0628	627.9690	14.9033	183.1614	3.0087	558.5602	9.1752
CP002027.1	gene	46715	47582	-	MMSYN1_0031	hslO	mRNA	chaperonin HslO	867	0.7566	0.0000	2.5071	0.0000	1.9458	0.3760	6.4129	1.2392	9.9250	0.3483	17.6531	0.6195	4.4600	0.6196	17.6531	0.6195	11.0565	0.6196	5307.1961	53.0069	1304.5801	13.0298	31.5905	0.5882	166.7009	3.1041	39.3472	0.0000	284.2745	0.0000	70.9377	0.5882	216.3283	1.7939
CP002027.1	gene	47673	50835	-	MMSYN1_0032		mRNA	GnsA/GnsB family	3162	8.0512	0.0000	26.6773	0.0000	13.3346	0.0000	43.9477	0.0000	43.2015	0.4586	76.8398	0.8156	35.3125	0.0000	76.8398	0.8156	56.0762	0.4078	1122.9478	14.4178	276.0357	3.5441	20.3937	0.5070	107.6162	2.6752	11.9469	0.3365	86.3134	2.4311	32.3406	0.8435	98.6244	2.5722
CP002027.1	gene	50957	54116	-	MMSYN1_0033		mRNA	hypothetical protein	3159	2.2881	0.1013	7.5814	0.3356	3.5695	0.0000	11.7642	0.0000	33.7819	0.3799	60.0858	0.6756	9.6728	0.1678	60.0858	0.6756	34.8793	0.4217	272.8670	17.5777	67.0744	4.3208	35.4144	1.5537	186.8790	8.1985	37.5714	1.1640	271.4448	8.4095	72.9858	2.7176	222.5739	8.2876
CP002027.1	gene	54280	59650	+	MMSYN1_0034		mRNA	efflux ABC transporter_ permease protein	5370	18.7905	0.0931	62.2612	0.3085	21.9182	0.4123	72.2375	1.3588	67.5806	2.0369	120.2016	3.6229	67.2493	0.8337	120.2016	3.6229	93.7255	2.2283	1183.3331	27.6331	290.8792	6.7926	31.5374	1.1881	166.4207	6.2694	29.5849	0.7594	213.7443	5.4865	61.1223	1.9475	186.3958	5.9390
CP002027.1	gene	59774	60968	+	MMSYN1_0035		mRNA	conserved hypothetical protein	1194	10.7027	0.0000	35.4627	0.0000	16.9472	1.1608	55.8542	3.8257	25.1231	0.7136	44.6850	1.2692	45.6584	1.9129	44.6850	1.2692	45.1717	1.5910	137.2353	9.9606	33.7343	2.4485	9.4204	1.4229	49.7109	7.5088	4.2739	0.1265	30.8777	0.9137	13.6943	1.5494	41.7615	4.7250
CP002027.1	gene	61276	62263	+	MMSYN1_0036		mRNA	D-lactate dehydrogenase	987	163.6292	2.2047	542.1755	7.3050	167.9189	1.4529	553.4219	4.7884	642.9747	3.8612	1143.6205	6.8677	547.7987	6.0467	1143.6205	6.8677	845.7096	6.4572	11485.2705	21.0385	2823.2339	5.1715	81.7913	2.5653	431.6065	13.5372	81.7812	2.2391	590.8504	16.1771	163.5724	4.8045	498.8228	14.6514
CP002027.1	gene	62281	63406	+	MMSYN1_0037		mRNA	malate permease	1125	121.7867	0.9716	403.5328	3.2192	134.2809	0.8284	442.5586	2.7304	451.2782	5.4053	802.6615	9.6141	423.0457	2.9748	802.6615	9.6141	612.8536	6.2945	8256.5964	19.6809	2029.5824	4.8378	127.6978	1.9947	673.8516	10.5257	89.2418	0.2684	644.7517	1.9395	216.9396	2.2631	661.5687	6.9015
CP002027.1	gene	63761	65045	+	MMSYN1_0038		mRNA	conserved hypothetical protein	1284	10.4167	1.1581	34.5150	3.8373	7.3606	1.7111	24.2588	5.6393	23.0405	4.4813	40.9808	7.9706	29.3869	4.7383	40.9808	7.9706	35.1838	6.3545	150.4151	36.8403	36.9741	9.0559	10.4790	0.8941	55.2968	4.7180	16.1963	1.4229	117.0143	10.2801	26.6752	2.3170	81.3475	7.0657
CP002027.1	gene	65086	67033	-	MMSYN1_0039		mRNA	peptidase_ M41 family	1947	180.0894	2.3554	596.7153	7.8045	173.3508	1.1454	571.3240	3.7748	425.0087	2.0031	755.9375	3.5628	584.0196	5.7897	755.9375	3.5628	669.9786	4.6762	6687.4895	7.0719	1643.8748	1.7384	75.1382	0.2476	396.4985	1.3064	182.6687	0.2614	1319.7403	1.8888	257.8069	0.5090	786.1957	1.5522
CP002027.1	gene	67264	68110	+	MMSYN1_0041		mRNA	conserved hypothetical protein	846	16.6158	1.4704	55.0556	4.8722	24.7057	2.9232	81.4242	9.6341	34.1277	8.9811	60.7008	15.9741	68.2399	7.2532	60.7008	15.9741	64.4703	11.6136	1192.3676	402.9622	293.1000	99.0535	12.8605	24.9326	67.8640	131.5676	31.0390	26.9149	224.2498	194.4540	43.8995	51.8475	133.8739	158.1118
CP002027.1	gene	68093	69299	-	MMSYN1_0040		mRNA	tRNA(Ile)-lysidine synthase (tRNA(Ile)-lysidinesynthetase) (tRNA(Ile)-2-lysyl-cytidine synthase)	1206	0.5531	0.3267	1.8326	1.0825	0.5821	0.1161	1.9184	0.3826	4.0473	1.4303	7.1986	2.5441	1.8755	0.7325	7.1986	2.5441	4.5371	1.6383	418.6434	577.7023	102.9082	142.0070	31.3234	4.4245	165.2912	23.3480	26.4735	3.8101	191.2648	27.5272	57.7968	8.2347	176.2546	25.1120
CP002027.1	gene	69301	70129	-	MMSYN1_0042		mRNA	transcriptional regulator_ RpiR family protein	828	4.9022	1.4505	16.2431	4.8061	7.0157	2.4022	23.1221	7.9170	175.8575	11.7971	312.7872	20.9828	19.6826	6.3615	312.7872	20.9828	166.2349	13.6722	827.3128	128.9396	203.3646	31.6951	97.1932	7.0688	512.8815	37.3017	52.6618	3.6135	380.4699	26.1069	149.8551	10.6824	456.9910	32.5764
CP002027.1	gene	70180	70903	-	MMSYN1_0043		mRNA	methyltransferase	723	0.3098	0.7082	1.0266	2.3464	1.7427	0.0000	5.7437	0.0000	36.2794	0.0000	64.5280	0.0000	3.3851	1.1732	64.5280	0.0000	33.9565	0.5866	562.4302	37.9322	138.2529	9.3243	33.1770	0.6238	175.0728	3.2917	15.5159	1.5726	112.0989	11.3618	48.6929	2.1964	148.4917	6.6980
CP002027.1	gene	70902	71643	-	MMSYN1_0044		mRNA	DNA polymerase III delta subunit	741	0.7152	0.1538	2.3699	0.5098	0.9501	0.6370	3.1312	2.0993	2.6694	0.1471	4.7478	0.2616	2.7506	1.3045	4.7478	0.2616	3.7492	0.7831	449.6640	11.9730	110.5334	2.9431	26.6451	0.3185	140.6041	1.6806	12.9325	0.6991	93.4346	5.0505	39.5776	1.0175	120.6940	3.1031
CP002027.1	gene	71620	72262	-	MMSYN1_0045	tmk	mRNA	dTMP kinase	642	22.6371	0.0000	75.0066	0.0000	49.3910	2.1620	162.7812	7.1254	177.5607	5.2819	315.8166	9.3947	118.8939	3.5627	315.8166	9.3947	217.3553	6.4787	705.5483	13.3240	173.4333	3.2752	19.3131	0.0000	101.9137	0.0000	20.5997	0.0000	148.8281	0.0000	39.9128	0.0000	121.7161	0.0000
CP002027.1	gene	72264	72855	-	MMSYN1_0046		mRNA	DNA repair protein RecM	591	7.2589	0.0000	24.0519	0.0000	13.4535	0.2301	44.3395	0.7584	52.2504	0.9543	92.9347	1.6974	34.1957	0.3792	92.9347	1.6974	63.5652	1.0383	973.7377	14.7157	239.3578	3.6173	17.7276	0.4535	93.5471	2.3929	16.5059	0.0000	119.2516	0.0000	34.2335	0.4535	104.3969	1.3829
CP002027.1	gene	72856	74863	-	MMSYN1_0047	dnaX	mRNA	DNA polymerase III_ gamma/tau subunit	2007	10.2596	0.0827	33.9945	0.2741	15.4853	0.0000	51.0360	0.0000	71.4429	0.0254	127.0713	0.0452	42.5152	0.1370	127.0713	0.0452	84.7933	0.0911	1349.8495	28.8505	331.8112	7.0918	19.8695	1.2930	104.8496	6.8229	15.8012	0.3936	114.1601	2.8438	35.6707	1.6866	108.7795	5.1434
CP002027.1	gene	74944	75412	-	MMSYN1_0048		mRNA	cytosine deaminase	468	35.4701	0.1282	117.5280	0.4248	53.7543	0.3675	177.1616	1.2113	55.9786	1.0000	99.5658	1.7786	147.3448	0.8180	99.5658	1.7786	123.4553	1.2983	975.5513	16.4231	239.8036	4.0370	32.8355	0.6261	173.2703	3.3037	6.6068	0.0000	47.7329	0.0000	39.4423	0.6261	120.2814	1.9092
CP002027.1	gene	75392	75491	-	MMSYN1_0049	srpB	ncRNA	Bacterial signal recognition particle RNA	99	98.9394	2.0000	327.8297	6.6269	147.7374	3.3535	486.9081	11.0525	132.1313	4.6465	235.0140	8.2644	407.3689	8.8397	235.0140	8.2644	321.1915	8.5520	907.5051	9.7879	223.0769	2.4060	86.3232	0.0000	455.5213	0.0000	18.4141	0.0000	133.0380	0.0000	104.7374	0.0000	319.4022	0.0000
CP002027.1	gene	75528	76491	-	MMSYN1_0050	guaC	mRNA	GMP reductase	963	41.2876	2.2222	136.8041	7.3632	41.7259	0.7456	137.5187	2.4573	106.0228	2.1256	188.5765	3.7808	137.1614	4.9102	188.5765	3.7808	162.8690	4.3455	135.9688	8.9792	33.4230	2.2072	56.1578	0.0000	296.3407	0.0000	30.2627	0.6220	218.6413	4.4939	86.4206	0.6220	263.5441	1.8969
CP002027.1	gene	76905	77202	-	MMSYN1_0051		mRNA	conserved hypothetical protein	297	0.0000	0.0000	0.0000	0.0000	0.0539	0.0000	0.1775	0.0000	0.0000	0.0000	0.0000	0.0000	0.0888	0.0000	0.0000	0.0000	0.0444	0.0000	170.9495	7.4074	42.0217	1.8208	20.9192	0.0000	110.3890	0.0000	7.6195	0.0000	55.0494	0.0000	28.5387	0.0000	87.0303	0.0000
