locus_tag	gene_name	gene_product	chrom	start0	end0	strand	gene_len	Illumina_sense_avg_depth	Illumina_antisense_avg_depth	Illumina_sense_TPM	Illumina_antisense_TPM	ONT_sense_avg_depth	ONT_antisense_avg_depth	ONT_sense_TPM	ONT_antisense_TPM
JCVISYN3A_0033		Uncharacterized protein	CP016816.2	26203	29362	-	3159	69.5362	6.0823	38.0542	3.3286	54.4571	2.9047	229.8826	12.2618
JCVISYN3A_0034		Uncharacterized efflux ABC transporter permease	CP016816.2	29508	34896	+	5388	64.0173	13.6221	35.0339	7.4548	26.2971	4.8875	111.0095	20.6320
JCVISYN3A_0039	ftsH	Membrane anchored AAA+ protease	CP016816.2	35061	37008	-	1947	6743.2342	8.5819	3690.2792	4.6965	177.6451	0.3529	749.9024	1.4895
JCVISYN3A_0040	tilS	tRNA lysidine(34) synthetase	CP016816.2	37239	38445	-	1206	132.2040	12.7512	72.3495	6.9782	158.2703	10.4063	668.1146	43.9287
JCVISYN3A_0042		Uncharacterized transcriptional regulator	CP016816.2	38447	39275	-	828	176.3502	4.0616	96.5088	2.2227	412.0048	4.6643	1739.2172	19.6894
JCVISYN3A_0043	yabD	Uncharacterized methyltransferase	CP016816.2	39326	40049	-	723	145.5270	2.5380	79.6406	1.3890	58.0097	0.4108	244.8793	1.7341
JCVISYN3A_0044	holA	DNA polymerase III subunit delta	CP016816.2	40048	40789	-	741	86.1066	1.4453	47.1224	0.7910	37.3914	1.0526	157.8421	4.4435
JCVISYN3A_0045	tmk	dTMP kinase	CP016816.2	40766	41408	-	642	644.1371	4.8318	352.5082	2.6442	31.0763	0.8474	131.1841	3.5770
JCVISYN3A_0046	recR	Recombination protein	CP016816.2	41410	42001	-	591	306.5364	3.9898	167.7540	2.1835	39.2623	0.3807	165.7398	1.6071
JCVISYN3A_0047	dnaX	DNA polymerase III subunit gamma and tau	CP016816.2	42002	44009	-	2007	225.7618	2.8884	123.5496	1.5807	50.4649	2.6562	213.0300	11.2128
JCVISYN3A_0049	ffs		CP016816.2	44177	44273	-	96	1035.7188	11.4583	566.8039	6.2706	31.8958	2.3021	134.6435	9.7179
JCVISYN3A_0051			CP016816.2	44396	45011	-	615	13.8309	4.2813	7.5690	2.3430	50.0033	3.8667	211.0813	16.3226
JCVISYN3A_0054	ahpC	Uncharacterized peroxiredoxin	CP016816.2	45292	45742	-	450	252.8422	1.8133	138.3696	0.9924	531.4978	10.3533	2243.6390	43.7051
JCVISYN3A_0060		Uncharacterized protein	CP016816.2	46273	47098	+	825	824.6448	2.8230	451.2923	1.5449	2145.3430	2.3855	9056.2471	10.0698
JCVISYN3A_0061	serRS	Serine--tRNA ligase	CP016816.2	47180	48449	+	1269	860.0268	7.8148	470.6553	4.2767	317.4460	1.7620	1340.0512	7.4381
JCVISYN3A_0063	dusB	Uncharacterized tRNA dihydrouridine synthase	CP016816.2	48558	49533	+	975	1749.5610	26.8636	957.4588	14.7013	47.5231	5.8154	200.6116	24.5488
JCVISYN3A_0064	lysRS	Lysine--tRNA ligase	CP016816.2	49535	51038	+	1503	1077.9461	30.1896	589.9131	16.5215	121.4238	113.4458	512.5726	478.8945
JCVISYN3A_0065	trxA	Thioredoxin	CP016816.2	51127	51436	-	309	5103.1424	5.2136	2792.7282	2.8532	3389.3883	7.0065	14307.7997	29.5768
JCVISYN3A_0066		Low specificity hydrolase	CP016816.2	51446	52289	-	843	2267.5136	11.2040	1240.9117	6.1315	1515.8932	9.5504	6399.1182	40.3157
JCVISYN3A_0067	rrfA		CP016816.2	52409	52518	-	109	46151.9817	262.3670	25256.9748	143.5820	37.9174	0.1560	160.0628	0.6584
JCVISYN3A_0068	rrlA		CP016816.2	52579	55493	-	2914	10186.1579	121.2797	5574.4417	66.3711	114.5141	0.8397	483.4041	3.5448
JCVISYN3A_0069	rrsA		CP016816.2	55712	57247	-	1535	21428.8899	115.7309	11727.1006	63.3345	91.3720	0.2202	385.7133	0.9295
JCVISYN3A_0070	tRNA-Leu		CP016816.2	57524	57608	-	84	5962.0714	21.0595	3262.7827	11.5250	381.8214	0.7262	1611.8025	3.0655
JCVISYN3A_0071	tRNA-Lys		CP016816.2	57610	57686	-	76	5728.2368	23.5526	3134.8152	12.8893	298.1579	1.4605	1258.6293	6.1654
JCVISYN3A_0076	asnRS	Asparagine--tRNA ligase	CP016816.2	58155	59520	-	1365	443.3385	9.2879	242.6199	5.0829	76.0366	3.1641	320.9773	13.3568
JCVISYN3A_0077		Uncharacterized hydrolase	CP016816.2	59528	60368	-	840	411.5643	3.5036	225.2313	1.9174	32.1595	2.4369	135.7567	10.2870
JCVISYN3A_0079	tsaD	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit D	CP016816.2	60403	61360	-	957	519.9896	6.2006	284.5677	3.3933	80.6196	0.4232	340.3239	1.7865
JCVISYN3A_0080		Uncharacterized protein	CP016816.2	61454	61676	-	222	1029.2703	3.3514	563.2749	1.8340	190.6351	0.0000	804.7379	0.0000
JCVISYN3A_0081	mnmE%3B trmE	tRNA uridine(34) 5-carboxymethylaminomethyl synthesis GTPase	CP016816.2	61875	63234	+	1359	128.2141	1.2384	70.1660	0.6777	84.5548	1.0456	356.9356	4.4139
JCVISYN3A_0082	rpsT	30S ribosomal protein S20	CP016816.2	63284	63530	-	246	263.4837	18.0488	144.1932	9.8773	944.9959	22.8902	3989.1600	96.6278
JCVISYN3A_0094		Uncharacterized protein	CP016816.2	63663	64380	-	717	79.7294	3.4226	43.6325	1.8730	101.8731	6.0865	430.0421	25.6931
JCVISYN3A_0095	secA	Preprotein translocase subunit A	CP016816.2	64494	67329	-	2835	1199.2878	5.1750	656.3181	2.8320	150.6240	1.4025	635.8368	5.9203
JCVISYN3A_0097	yycJ	Uncharacterized 5'-3' exonuclease	CP016816.2	67493	68405	+	912	237.7873	3.4364	130.1306	1.8806	314.5581	0.7993	1327.8604	3.3743
JCVISYN3A_0105	xseB	Exodeoxyribonuclease VII small subunit	CP016816.2	68808	69024	-	216	61.1620	98.4769	33.4713	53.8921	49.3333	89.4028	208.2533	377.4006
JCVISYN3A_0106	xseA	Exodeoxyribonuclease VII large subunit	CP016816.2	69013	70423	-	1410	92.9291	101.5447	50.8560	55.5710	17.8454	24.9248	75.3317	105.2164
JCVISYN3A_0107	nusB	Transcription antitermination factor	CP016816.2	70424	70823	-	399	66.0902	55.3208	36.1683	30.2747	29.1955	11.1654	123.2444	47.1331
JCVISYN3A_0108		Uncharacterized lipoprotein	CP016816.2	70834	71947	-	1113	75.2399	67.8374	41.1755	37.1244	26.4043	6.5022	111.4619	27.4483
JCVISYN3A_0109		Deoxyribonuclease IV	CP016816.2	71972	72842	-	870	65.7529	35.9632	35.9837	19.6811	21.8552	9.8920	92.2584	41.7574
JCVISYN3A_0113	bcsA	Glycolipid synthase A	CP016816.2	73087	74437	+	1350	372.0948	2.5911	203.6313	1.4180	295.0711	0.8170	1245.5989	3.4490
JCVISYN3A_0114	bcsB%3B cps	Glycolipid synthase B	CP016816.2	74510	75431	-	921	37.5722	1.0413	20.5616	0.5698	38.0673	7.7079	160.6955	32.5379
JCVISYN3A_0115	galU%3B gtaB	UTP--glucose-1-phosphate uridylyltransferase	CP016816.2	75878	76751	-	873	1694.0630	7.7342	927.0871	4.2326	1610.5086	2.0275	6798.5229	8.5588
JCVISYN3A_0116		Uncharacterized protein	CP016816.2	76935	77376	-	441	23.8095	42.6054	13.0299	23.3161	66.6644	99.8685	281.4139	421.5800
JCVISYN3A_0117	plsY	Acyl-phosphate glycerol 3-phosphate acyltransferase	CP016816.2	77445	78207	+	762	448.5144	10.9856	245.4525	6.0119	240.0341	3.6693	1013.2684	15.4894
JCVISYN3A_0126	gluRS	Glutamate--tRNA ligase	CP016816.2	78402	79854	+	1452	156.6281	6.4263	85.7158	3.5168	112.8402	1.4360	476.3382	6.0617
JCVISYN3A_0127		Uncharacterized phosphohydrolase	CP016816.2	79856	81071	+	1215	186.1045	3.6337	101.8469	1.9886	92.7292	1.9160	391.4426	8.0883
JCVISYN3A_0128	rpoE	DNA-directed RNA polymerase subunit delta	CP016816.2	81096	81525	+	429	1655.5198	2.8368	905.9941	1.5525	3891.2494	0.0000	16426.3317	0.0000
JCVISYN3A_0129	pyrG	CTP synthase	CP016816.2	81616	83215	+	1599	738.8987	7.2176	404.3672	3.9499	756.5754	0.1088	3193.7706	0.4594
JCVISYN3A_0131	fbaA	Fructose-1%2C6-bisphosphate aldolase	CP016816.2	83503	84397	+	894	3548.7864	9.9239	1942.0966	5.4309	1199.2148	4.2271	5062.3071	17.8439
JCVISYN3A_0132	ietA	Toxin-antitoxin AAA ATPase	CP016816.2	84545	85607	+	1062	132.8051	2.0574	72.6785	1.1259	304.6714	1.0819	1286.1250	4.5672
JCVISYN3A_0133	ietS	Toxin-antitoxin serine protease	CP016816.2	85599	87873	+	2274	173.0427	6.5026	94.6987	3.5586	228.2296	1.8558	963.4372	7.8338
JCVISYN3A_0137	rpmE	50S ribosomal protein L31	CP016816.2	88732	89011	+	279	647.9606	4.7778	354.6007	2.6147	209.0860	1.4516	882.6256	6.1278
JCVISYN3A_0138		Uncharacterized protein	CP016816.2	89083	90982	+	1899	98.5961	1.0974	53.9574	0.6006	147.6698	0.8194	623.3662	3.4589
JCVISYN3A_0139	ytqI%3B orn	NanoRNAse	CP016816.2	90991	91942	+	951	548.4385	2.6803	300.1366	1.4668	145.6583	0.0000	614.8747	0.0000
JCVISYN3A_0140	tdk	Thymidine kinase	CP016816.2	91943	92573	+	630	642.0254	4.6460	351.3526	2.5426	125.8349	1.1238	531.1934	4.7440
JCVISYN3A_0141	prfA	Peptide chain release factor 1	CP016816.2	92575	93670	+	1095	2048.5872	4.7288	1121.1028	2.5878	139.0091	1.2420	586.8064	5.2430
JCVISYN3A_0142	prmC	Protein-(glutamine-N5) methyltransferase%2C release factor-specific	CP016816.2	93662	94511	+	849	157.7362	2.8127	86.3221	1.5393	50.8198	0.6761	214.5282	2.8540
JCVISYN3A_0143		Uncharacterized protein	CP016816.2	94519	95992	+	1473	180.7352	2.5187	98.9085	1.3784	58.6836	5.3299	247.7243	22.4995
JCVISYN3A_0144	tsaC	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit	CP016816.2	96000	96501	+	501	139.7884	4.7086	76.5001	2.5768	91.4671	5.5788	386.1146	23.5503
JCVISYN3A_0145		Uncharacterized acetyltransferase	CP016816.2	96615	97530	+	915	413.4109	2.1825	226.2418	1.1944	668.0295	2.7902	2819.9874	11.7783
JCVISYN3A_0146		Uncharacterized protein	CP016816.2	97758	98466	+	708	11.2599	1.5537	6.1620	0.8503	14.1681	0.3757	59.8084	1.5860
JCVISYN3A_0147	clsA	Cardiolipin synthase	CP016816.2	98465	99995	+	1530	31.4961	2.2111	17.2364	1.2100	20.2745	2.5379	85.5858	10.7134
JCVISYN3A_0148	rpsL	30S ribosomal protein S12	CP016816.2	100118	100538	+	420	19002.1524	22.8952	10399.0526	12.5296	104.2714	0.0000	440.1664	0.0000
JCVISYN3A_0149	rpsG	30S ribosomal protein S7	CP016816.2	100624	101092	+	468	7786.8333	45.9615	4261.3956	25.1528	182.5150	0.0000	770.4598	0.0000
JCVISYN3A_0150		Translation elongation factor G	CP016816.2	101116	103186	+	2070	14645.7565	19.0773	8014.9864	10.4402	65.4894	0.2831	276.4537	1.1950
JCVISYN3A_0151		Translation elongation factor Tu	CP016816.2	103317	104505	+	1188	46405.7609	118.0017	25395.8572	64.5772	466.4478	13.6204	1969.0402	57.4964
JCVISYN3A_0158	ssrA		CP016816.2	104781	105192	+	411	120566.6277	129.3309	65980.8781	70.7772	56001.1314	3.6083	236400.4618	15.2318
JCVISYN3A_0163	alaRS	Alanine--tRNA ligase	CP016816.2	105430	108121	-	2691	596.5868	2.1167	326.4860	1.1584	254.5110	1.8904	1074.3802	7.9799
JCVISYN3A_0164		Uncharacterized protein	CP016816.2	108194	108689	-	495	135.3596	1.7515	74.0764	0.9585	74.4970	0.0000	314.4779	0.0000
JCVISYN3A_0165	amiC	Oligopeptide ABC transporter permease	CP016816.2	108906	110151	+	1245	1593.4072	24.0410	872.0026	13.1566	185.9414	4.0281	784.9239	17.0041
JCVISYN3A_0166		Oligopeptide ABC transporter permease	CP016816.2	110166	111177	+	1011	1318.7201	35.0851	721.6782	19.2005	106.5826	5.0554	449.9226	21.3406
JCVISYN3A_0167	amiE	Oligopeptide ABC transporter ATP-binding protein	CP016816.2	111190	112891	+	1701	1075.5850	60.6190	588.6209	33.1742	65.2099	21.6384	275.2738	91.3435
JCVISYN3A_0168	amiF	Oligopeptide ABC transporter ATP-binding protein	CP016816.2	112892	114761	+	1869	1010.0835	35.3531	552.7748	19.3472	65.6816	77.2584	277.2653	326.1350
JCVISYN3A_0169	amiA	Oligopeptide ABC transporter substrate-binding protein	CP016816.2	114777	117879	+	3102	2300.4207	10.4819	1258.9203	5.7363	128.1380	10.8810	540.9154	45.9327
JCVISYN3A_0195	potC	Spermidine/putrescine ABC transporter permease	CP016816.2	118737	121848	-	3111	437.6625	2.5217	239.5137	1.3800	56.4928	1.8116	238.4758	7.6476
JCVISYN3A_0196	potB	Spermidine/putrescine ABC transporter permease	CP016816.2	121832	122825	-	993	550.5639	3.8167	301.2997	2.0887	91.1551	0.0655	384.7977	0.2763
JCVISYN3A_0197	potA	Spermidine/putrescine ABC transporter ATP-binding protein	CP016816.2	122824	123880	-	1056	914.6506	1.7765	500.5485	0.9722	206.6581	0.8523	872.3767	3.5977
JCVISYN3A_0198	rplT	50S ribosomal protein L20	CP016816.2	124253	124613	-	360	1810.1861	1.7000	990.6362	0.9303	435.6222	0.0000	1838.9145	0.0000
JCVISYN3A_0199	rpmI	50S ribosomal protein L35	CP016816.2	124631	124823	-	192	4981.9062	9.1927	2726.3809	5.0308	325.7448	0.0000	1375.0833	0.0000
JCVISYN3A_0200	infC	Translation initiation factor IF-3	CP016816.2	124848	125394	-	546	2116.6245	15.6996	1158.3367	8.5917	81.6429	0.1685	344.6432	0.7113
JCVISYN3A_0201	def	Peptide deformylase	CP016816.2	125582	126185	-	603	490.6103	1.9934	268.4897	1.0909	190.7380	0.0000	805.1721	0.0000
JCVISYN3A_0202	rsmD	16S rRNA (guanine(966)-N(2))-methyltransferase	CP016816.2	126258	126816	+	558	46.2115	5.4642	25.2895	2.9903	30.7330	6.7330	129.7347	28.4223
JCVISYN3A_0203	gmk	Guanylate kinase	CP016816.2	126818	127712	+	894	283.4541	3.6779	155.1221	2.0127	100.4183	0.8210	423.9011	3.4659
JCVISYN3A_0213	eno	Phosphopyruvate hydratase	CP016816.2	127919	129275	+	1356	3813.7080	5.7515	2087.0767	3.1475	452.2087	1.7478	1908.9319	7.3780
JCVISYN3A_0214	pgpA	Phosphatidylglycerophosphatase	CP016816.2	129341	130163	+	822	19.1290	2.5122	10.4684	1.3748	14.0122	6.3418	59.1503	26.7712
JCVISYN3A_0215	yrrK%3B yqgF	Putative pre-16S rRNA nuclease	CP016816.2	130164	130596	+	432	293.9954	1.2130	160.8909	0.6638	213.4282	1.2778	900.9556	5.3939
JCVISYN3A_0216	hptA	Hypoxanthine phosphoribosyltransferase	CP016816.2	130601	131174	+	573	411.8429	1.1850	225.3837	0.6485	800.5218	0.1693	3379.2840	0.7146
JCVISYN3A_0218	glpK	Glycerol kinase	CP016816.2	131273	132791	-	1518	2900.6456	11.9796	1587.3973	6.5559	609.9763	38.4638	2574.9243	162.3691
JCVISYN3A_0220	pfkA	6-Phosphofructokinase	CP016816.2	133141	134122	+	981	1732.1804	8.7859	947.9471	4.8082	57.9429	0.2559	244.5974	1.0801
JCVISYN3A_0221	pyk	Pyruvate kinase	CP016816.2	134192	135629	+	1437	2276.3333	6.7258	1245.7384	3.6807	348.4530	1.3180	1470.9427	5.5638
JCVISYN3A_0222	thrRS	Threonine--tRNA ligase	CP016816.2	135893	137813	+	1920	245.3630	1.1156	134.2765	0.6105	123.4688	1.0927	521.2050	4.6127
JCVISYN3A_0227	pdhC	Branched-chain alpha-keto acid dehydrogenase subunit E2	CP016816.2	138323	139649	+	1326	8661.6335	6.8160	4740.1358	3.7301	86.0339	0.5490	363.1795	2.3176
JCVISYN3A_0228	lpdA	Dihydrolipoyl dehydrogenase	CP016816.2	139667	141557	+	1890	8580.6757	18.0646	4695.8311	9.8859	99.7804	2.4048	421.2082	10.1513
JCVISYN3A_0229	pta	Phosphate acetyltransferase	CP016816.2	141578	142547	+	969	6056.6956	7.2384	3314.5664	3.9613	159.9680	0.7214	675.2812	3.0451
JCVISYN3A_0230	ackA	Acetate kinase	CP016816.2	142559	143741	+	1182	3888.8046	31.7978	2128.1738	17.4016	475.7817	0.3553	2008.4419	1.5000
JCVISYN3A_0233	ptsI	Phosphoenolpyruvate--protein phosphotransferase	CP016816.2	143902	145624	+	1722	951.7282	1.3577	520.8395	0.7430	254.3815	2.2573	1073.8339	9.5287
JCVISYN3A_0234	crr	PTS glucose transporter subunit IIA	CP016816.2	145705	146170	+	465	3601.7269	5.5849	1971.0687	3.0564	1331.8774	6.1957	5622.3228	26.1542
JCVISYN3A_0235		Uncharacterized protein	CP016816.2	146278	146461	+	183	919.7268	2.5191	503.3265	1.3786	1297.3333	8.3716	5476.5001	35.3394
JCVISYN3A_0238	rpsD	30S ribosomal protein S4	CP016816.2	146577	147204	-	627	3122.3254	8.8405	1708.7130	4.8380	1759.0032	1.5885	7425.3708	6.7057
JCVISYN3A_0239		Uncharacterized protein	CP016816.2	147458	149246	+	1788	17.1331	2.3043	9.3762	1.2610	17.9452	2.0979	75.7530	8.8559
JCVISYN3A_0240	thiI	tRNA 4-thiouridine(8) synthase	CP016816.2	149253	150441	+	1188	124.0631	3.1330	67.8944	1.7146	41.8468	5.5749	176.6501	23.5337
JCVISYN3A_0247	ysxC%3B yihA	Ribosome biogenesis GTP-binding protein	CP016816.2	150613	151204	-	591	449.8223	1.8883	246.1682	1.0334	384.7563	1.6227	1624.1918	6.8499
JCVISYN3A_0248		Uncharacterized protein	CP016816.2	151197	151758	-	561	154.7112	0.3298	84.6667	0.1805	171.3173	1.0374	723.1905	4.3794
JCVISYN3A_0249		Uncharacterized protein	CP016816.2	151759	152338	-	579	114.4352	0.8238	62.6254	0.4508	244.6183	0.0000	1032.6199	0.0000
JCVISYN3A_0250		Uncharacterized protein	CP016816.2	152340	153030	-	690	103.7058	0.7348	56.7537	0.4021	377.7420	0.0522	1594.5819	0.2202
JCVISYN3A_0253	greA	Transcription elongation factor	CP016816.2	153155	153629	-	474	747.0211	3.1688	408.8122	1.7341	472.4747	13.6709	1994.4817	57.7096
JCVISYN3A_0254	uvrC	Excinuclease ABC subunit C	CP016816.2	153751	155506	-	1755	83.0957	1.3470	45.4747	0.7372	162.5584	2.0821	686.2162	8.7891
JCVISYN3A_0257	rnjB	RNase J family beta-CASP ribonuclease	CP016816.2	155627	157379	-	1752	833.9509	3.5685	456.3851	1.9529	227.3733	1.4629	959.8226	6.1754
JCVISYN3A_0259	nadK	NAD(+) kinase	CP016816.2	157515	158313	-	798	172.4386	2.3333	94.3682	1.2769	109.9987	0.3434	464.3434	1.4494
JCVISYN3A_0260	valRS	Valine--tRNA ligase	CP016816.2	158423	161042	-	2619	297.9847	1.3043	163.0741	0.7138	389.8278	0.6262	1645.6002	2.6434
JCVISYN3A_0262	rpe	Ribulose-phosphate 3-epimerase	CP016816.2	161213	161891	-	678	568.7684	2.1018	311.2623	1.1502	414.4926	0.6386	1749.7191	2.6959
JCVISYN3A_0263		Ribosome small subunit-dependent GTPase A	CP016816.2	161892	162795	-	903	260.6346	1.8959	142.6340	1.0375	73.5714	0.3023	310.5709	1.2762
JCVISYN3A_0264		Uncharacterized serine/threonine protein kinase	CP016816.2	162804	163920	-	1116	202.1389	4.4534	110.6218	2.4372	17.4292	0.9418	73.5748	3.9755
JCVISYN3A_0270	tsaE%3B yjeE	tRNA (N6-adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase	CP016816.2	164054	164471	+	417	38.5923	29.2806	21.1199	16.0240	131.5012	4.8921	555.1128	20.6512
JCVISYN3A_0271	tsaB%3B yeaZ	tRNA N6-adenosine(37)-N6-threonylcarbamoyltransferase complex dimerization subunit	CP016816.2	164472	165036	+	564	49.2482	19.6294	26.9514	10.7423	97.4965	8.1738	411.5668	34.5043
JCVISYN3A_0280	tRNA-Ser		CP016816.2	165577	165667	+	90	57.5556	4.1222	31.4977	2.2559	2.5111	1.8667	10.6003	7.8799
JCVISYN3A_0281		Uncharacterized protein	CP016816.2	165786	166467	+	681	19.3598	0.7416	10.5948	0.4058	42.2012	1.4802	178.1460	6.2483
JCVISYN3A_0282	proRS	Proline--tRNA ligase	CP016816.2	166447	167872	+	1425	144.3733	2.5804	79.0093	1.4121	62.3677	1.6049	263.2761	6.7749
JCVISYN3A_0283	rnhA	Double-stranded RNA binding RNase HI	CP016816.2	167884	168502	+	618	246.5469	1.0469	134.9244	0.5729	56.2864	0.5663	237.6047	2.3907
JCVISYN3A_0285	lepA%3B EF4	Elongation factor 4	CP016816.2	168526	170329	+	1803	382.5208	3.0383	209.3370	1.6627	39.0760	1.9451	164.9535	8.2109
JCVISYN3A_0286		Uncharacterized protein	CP016816.2	170354	171161	+	807	247.0112	1.6444	135.1785	0.8999	160.1239	9.0025	675.9393	38.0026
JCVISYN3A_0287	aspRS	Aspartate--tRNA ligase	CP016816.2	171177	172902	-	1725	351.6759	7.3171	192.4570	4.0043	159.2713	1.4614	672.3402	6.1693
JCVISYN3A_0288	hisRS	Histidine--tRNA ligase	CP016816.2	172910	174155	-	1245	278.6956	2.9430	152.5180	1.6106	187.6225	2.7237	792.0205	11.4977
JCVISYN3A_0289	rbfA	Ribosome-binding factor A	CP016816.2	174339	174693	+	354	663.3842	4.3757	363.0413	2.3946	633.4379	0.6921	2673.9639	2.9216
JCVISYN3A_0290	truB	tRNA pseudouridine(55) synthase	CP016816.2	174742	175621	+	879	21.5495	2.1797	11.7931	1.1929	121.0307	3.4790	510.9132	14.6859
JCVISYN3A_0291	ribF	FAD synthetase	CP016816.2	175607	176162	+	555	25.4198	0.6054	13.9112	0.3313	137.2432	1.0234	579.3520	4.3202
JCVISYN3A_0294	rpsO	30S ribosomal protein S15	CP016816.2	176396	176663	+	267	887.1985	1.7678	485.5252	0.9674	177.7528	10.7491	750.3571	45.3756
JCVISYN3A_0295	tRNA-Gly		CP016816.2	176722	176796	+	74	694.1216	1.4730	379.8626	0.8061	72.2027	13.1486	304.7930	55.5051
JCVISYN3A_0296		Uncharacterized protein	CP016816.2	176893	177538	+	645	120.9271	1.5876	66.1782	0.8688	64.9612	13.5132	274.2242	57.0439
JCVISYN3A_0297	infB	Translation initiation factor IF-2	CP016816.2	177556	179419	-	1863	3320.2297	5.7064	1817.0175	3.1229	216.5003	5.7391	913.9237	24.2269
JCVISYN3A_0298		Uncharacterized L7Ae family protein	CP016816.2	179440	179740	-	300	447.6367	1.8700	244.9721	1.0234	104.9933	0.0000	443.2138	0.0000
JCVISYN3A_0299		Uncharacterized protein	CP016816.2	179726	180008	-	282	473.4894	0.7234	259.1202	0.3959	124.2766	0.0000	524.6152	0.0000
JCVISYN3A_0300	nusA	Transcription termination/antitermination protein NusA	CP016816.2	179988	181743	-	1755	739.3111	2.5783	404.5929	1.4110	95.8251	0.3197	404.5113	1.3494
JCVISYN3A_0301	rimP	Ribosome assembly cofactor	CP016816.2	181751	182246	-	495	162.3515	2.3475	88.8479	1.2847	43.3313	1.0990	182.9167	4.6392
JCVISYN3A_0302	fre	Flavin reductase	CP016816.2	182358	183009	-	651	187.1475	0.7051	102.4177	0.3859	144.3810	0.2642	609.4828	1.1153
JCVISYN3A_0303	polC	PolC-type DNA polymerase III	CP016816.2	183021	187470	-	4449	283.4990	2.7332	155.1467	1.4958	58.4644	1.1011	246.7987	4.6483
